Optimizing /h/ywang30/nofib/spectral/awards
>>>>>>>>>>>>>>>START OPTIMIZATION>>>>>>>>>>>>>>>
pop: 15
gens: 13
arch: 7
Basetime is: 286992.0
10001000001101111000010001001010110000,10001000001101111000010001001010110000100000000111001001000 282008.0
11101000101011011100110101000011100010,11101000101011011100110101000011100010100001011111100001000 282008.0
10101101011101111100010000010011100010,10101101011101111100010000010011100010000000000001100001000 282008.0
10101001001000011111110000011011001010,10101001001000011111110000011011001010100001001011000001011 282008.0
10101111001001011100010100010011100010,10101111001001011100010100010011100010100001011111100101010 282008.0
11101100101100001110011101000110100011,11101100101100001110011101000110100011000000100101100000011 282008.0
best: 0.9826336622623627
10101001011101101100110100010010000000,10101001011101101100110100010010000000000000000101100001000 282008.0
11101101111101001100010101000010100011,11101101111101001100010101000010100011000001001101000100011 282008.0
11101001011101101100110100010011100010,11101001011101101100110100010011100010100000100101100001010 282008.0
10101001001000111110010100011010001010,10101001001000111110010100011010001010100001011011100000011 282008.0
10001000001100111110010001001010011000,10001000001100111110010001001010011000100000000111001001011 282008.0
10101001001000011100110100011011001010,10101001001000011100110100011011001010100001001111010001011 282008.0
10101101001001011111010100010011100010,10101101001001011111010100010011100010000001001111100101010 282008.0
10101001001000011110110000011011011000,10101001001000011110110000011011011000100001000011000001011 282008.0
11101001111110111100110000011011011010,11101001111110111100110000011011011010100000000111000001010 282008.0
11111110101110001010011101000111101001,11111110101110001010011101000111101001000010100101000000001 282624.0
10101101011111111100111101010010100011,10101101011111111100111101010010100011100101101101100111010 282008.0
10101000001101110001110010011001001010,10101000001101110001110010011001001010110001011000010001010 282104.0
10011001001000111110111100111011111100,10011001001000111110111100111011111100110000000111000001111 573984.0
11101100110100010001010010010010100011,11101100110100010001010010010010100011100011100100100100111 282104.0
00011010111000011010111001011000100000,00011010111000011010111001011000100000010001000001000011010 287528.0
11101001111110011100010101010011100010,11101001111110011100010101010011100010100001100111001101010 282008.0
11101001111101101100010101010011100010,11101001111101101100010101010011100010000001001101000101001 282008.0
11101011001001011100110101010011100000,11101011001001011100110101010011100000100001101111010111010 282008.0
10101001001000111110110000011011011000,10101001001000111110110000011011011000100000000111000001011 282008.0
10101011011100011111110000010101001010,10101011011100011111110000010101001010100001001110000010011 282008.0
11101101011101011100100001010011110000,11101101011101011100100001010011110000100000100011001011010 282008.0
10101001011001011111010000010011100010,10101001011001011111010000010011100010000001001011100001011 282008.0
best: 0.9826336622623627
done evolving!
"all is well:)"
>>>>>>>>>>>>>>FINISH OPTIMIZATION>>>>>>>>>>>>>>>
758.61user 553.00system 36:43.40elapsed 59%CPU (0avgtext+0avgdata 107612maxresident)k
1069928inputs+1503304outputs (561major+74826554minor)pagefaults 0swaps
